Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score
46,Turkey,1,1,1,3,2012,6,0,1871
47,Dominican Republic,1,1,0,2,2012,5,0,1871
48,Chinese Taipei,1,0,1,2,2012,4,0,1871
48,Latvia,1,0,1,2,2012,4,0,1871
50,Algeria,1,0,0,1,2012,3,0,1871
50,Bahamas,1,0,0,1,2012,3,0,1871
50,Bahrain,1,0,0,1,2012,3,0,1871
50,Grenada,1,0,0,1,2012,3,0,1871
50,Uganda,1,0,0,1,2012,3,0,1871
50,Venezuela,1,0,0,1,2012,3,0,1871
56,Egypt,0,3,1,4,2012,7,0,1871
57,India,0,2,4,6,2012,8,0,1871
58,Mongolia,0,2,3,5,2012,7,0,1871
59,Thailand,0,2,2,4,2012,6,0,1871
60,Bulgaria,0,2,1,3,2012,5,0,1871
60,Finland,0,2,1,3,2012,5,0,1871
60,Indonesia,0,2,1,3,2012,5,0,1871
63,Slovakia,0,1,3,4,2012,5,0,1871
64,Belgium,0,1,2,3,2012,4,0,1871
65,Armenia,0,1,1,2,2012,3,0,1871
65,Estonia,0,1,1,2,2012,3,0,1871
65,Malaysia,0,1,1,2,2012,3,0,1871
65,Puerto Rico,0,1,1,2,2012,3,0,1871
65,Qatar,0,1,1,2,2012,3,0,1871
70,Botswana,0,1,0,1,2012,2,0,1871
70,Cyprus,0,1,0,1,2012,2,0,1871
70,Gabon,0,1,0,1,2012,2,0,1871
70,Guatemala,0,1,0,1,2012,2,0,1871
70,Montenegro,0,1,0,1,2012,2,0,1871
70,Portugal,0,1,0,1,2012,2,0,1871
76,Uzbekistan,0,0,3,3,2012,3,0,1871
77,Greece,0,0,2,2,2012,2,0,1871
77,Singapore,0,0,2,2,2012,2,0,1871
79,Afghanistan,0,0,1,1,2012,1,0,1871
79,Cameroon,0,0,1,1,2012,1,0,1871
79,Hong Kong,0,0,1,1,2012,1,0,1871
79,Kuwait,0,0,1,1,2012,1,0,1871
79,Morocco,0,0,1,1,2012,1,0,1871
79,Saudi Arabia,0,0,1,1,2012,1,0,1871
79,Tajikistan,0,0,1,1,2012,1,0,1871
79,Vietnam,0,0,1,1,2012,1,0,1871
1,United States,46,37,38,121,2016,250,0,1891
2,Great Britain,27,23,17,67,2016,144,0,1891
3,China,26,18,26,70,2016,140,0,1891
4,Russia,19,17,20,56,2016,111,0,1891
5,Germany,17,10,15,42,2016,86,0,1891
6,Japan,12,8,21,41,2016,73,0,1891
7,France,10,18,14,42,2016,80,0,1891
8,South Korea,9,3,9,21,2016,42,0,1891
9,Italy,8,12,8,28,2016,56,0,1891
10,Australia,8,11,10,29,2016,56,0,1891
11,Netherlands,8,7,4,19,2016,42,0,1891
12,Hungary,8,3,4,15,2016,34,0,1891
13,Brazil,7,6,6,19,2016,39,1,1891
14,Spain,7,4,6,17,2016,35,0,1891
15,Kenya,6,6,1,13,2016,31,0,1891
16,Jamaica,6,3,2,11,2016,26,0,1891
17,Croatia,5,3,2,10,2016,23,0,1891
18,Cuba,5,2,4,11,2016,23,0,1891
19,New Zealand,4,9,5,18,2016,35,0,1891
20,Canada,4,3,15,22,2016,33,0,1891
21,Uzbekistan,4,2,7,13,2016,23,0,1891
22,Colombia,3,2,3,8,2016,16,0,1891
23,Switzerland,3,2,2,7,2016,15,0,1891
24,Iran,3,1,4,8,2016,15,0,1891
25,Greece,3,1,2,6,2016,13,0,1891
26,Argentina,3,1,0,4,2016,11,0,1891
27,Denmark,2,6,7,15,2016,25,0,1891
28,Sweden,2,6,3,11,2016,21,0,1891
29,South Africa,2,6,2,10,2016,20,0,1891
30,Kazakhstan,2,5,10,17,2016,26,0,1891
31,Ukraine,2,5,4,11,2016,20,0,1891
32,Serbia,2,4,2,8,2016,16,0,1891
33,Poland,2,3,6,11,2016,18,0,1891
34,North Korea,2,3,2,7,2016,14,0,1891
35,Belgium,2,2,2,6,2016,12,0,1891
35,Thailand,2,2,2,6,2016,12,0,1891
37,Slovakia,2,2,0,4,2016,10,0,1891
38,Georgia,2,1,4,7,2016,12,0,1891
39,Azerbaijan,1,7,10,18,2016,27,0,1891
40,Belarus,1,4,4,9,2016,15,0,1891
41,Turkey,1,3,4,8,2016,13,0,1891
42,Armenia,1,3,0,4,2016,9,0,1891
43,Czech Republic,1,2,7,10,2016,14,0,1891
44,Ethiopia,1,2,5,8,2016,12,0,1891
45,Slovenia,1,2,1,4,2016,8,0,1891
46,Indonesia,1,2,0,3,2016,7,0,1891
47,Romania,1,1,2,4,2016,7,0,1891
48,Bahrain,1,1,0,2,2016,5,0,1891
48,Vietnam,1,1,0,2,2016,5,0,1891
50,Chinese Taipei,1,0,2,3,2016,5,0,1891
51,Bahamas,1,0,1,2,2016,4,0,1891
51,Independent Olympic Athletes,1,0,1,2,2016,4,0,1891
51,Ivory Coast,1,0,1,2,2016,4,0,1891
54,Fiji,1,0,0,1,2016,3,0,1891
54,Jordan,1,0,0,1,2016,3,0,1891
54,Kosovo,1,0,0,1,2016,3,0,1891
54,Puerto Rico,1,0,0,1,2016,3,0,1891
54,Singapore,1,0,0,1,2016,3,0,1891
54,Tajikistan,1,0,0,1,2016,3,0,1891
60,Malaysia,0,4,1,5,2016,9,0,1891
61,Mexico,0,3,2,5,2016,8,0,1891
62,Venezuela,0,2,1,3,2016,5,0,1891
63,Algeria,0,2,0,2,2016,4,0,1891
63,Ireland,0,2,0,2,2016,4,0,1891
65,Lithuania,0,1,3,4,2016,5,0,1891
66,Bulgaria,0,1,2,3,2016,4,0,1891
67,India,0,1,1,2,2016,3,0,1891
67,Mongolia,0,1,1,2,2016,3,0,1891
69,Burundi,0,1,0,1,2016,2,0,1891
69,Grenada,0,1,0,1,2016,2,0,1891
69,Niger,0,1,0,1,2016,2,0,1891
69,Philippines,0,1,0,1,2016,2,0,1891
69,Qatar,0,1,0,1,2016,2,0,1891
74,Norway,0,0,4,4,2016,4,0,1891
75,Egypt,0,0,3,3,2016,3,0,1891
75,Tunisia,0,0,3,3,2016,3,0,1891
77,Israel,0,0,2,2,2016,2,0,1891
78,Austria,0,0,1,1,2016,1,0,1891
78,Dominican Republic,0,0,1,1,2016,1,0,1891
78,Estonia,0,0,1,1,2016,1,0,1891
78,Finland,0,0,1,1,2016,1,0,1891
78,Morocco,0,0,1,1,2016,1,0,1891
78,Nigeria,0,0,1,1,2016,1,0,1891
78,Portugal,0,0,1,1,2016,1,0,1891
78,Trinidad and Tobago,0,0,1,1,2016,1,0,1891
78,United Arab Emirates,0,0,1,1,2016,1,0,1891
1,United States,39,41,33,113,2020,232,0,2098
2,China,38,32,19,89,2020,197,0,2098
3,Japan,27,14,17,58,2020,126,1,2098
4,Great Britain,22,20,22,64,2020,128,0,2098
5,ROC,20,28,23,71,2020,139,0,2098
6,Australia,17,7,22,46,2020,87,0,2098
7,Netherlands,10,12,14,36,2020,68,0,2098
8,France,10,12,11,33,2020,65,0,2098
9,Germany,10,11,16,37,2020,68,0,2098
10,Italy,10,10,20,40,2020,70,0,2098
11,Canada,7,7,10,24,2020,45,0,2098
12,Brazil,7,6,8,21,2020,41,0,2098
13,New Zealand,7,6,7,20,2020,40,0,2098
14,Cuba,7,3,5,15,2020,32,0,2098
15,Hungary,6,7,7,20,2020,39,0,2098
16,South Korea,6,4,10,20,2020,36,0,2098
17,Poland,4,5,5,14,2020,27,0,2098
18,Czech Republic,4,4,3,11,2020,23,0,2098
19,Kenya,4,4,2,10,2020,22,0,2098
20,Norway,4,2,2,8,2020,18,0,2098
21,Jamaica,4,1,4,9,2020,18,0,2098
22,Spain,3,8,6,17,2020,31,0,2098
23,Sweden,3,6,0,9,2020,21,0,2098
24,Switzerland,3,4,6,13,2020,23,0,2098
25,Denmark,3,4,4,11,2020,21,0,2098
26,Croatia,3,3,2,8,2020,17,0,2098
27,Iran,3,2,2,7,2020,15,0,2098
28,Serbia,3,1,5,9,2020,16,0,2098
29,Belgium,3,1,3,7,2020,14,0,2098
30,Bulgaria,3,1,2,6,2020,13,0,2098
31,Slovenia,3,1,1,5,2020,12,0,2098
32,Uzbekistan,3,0,2,5,2020,11,0,2098
33,Georgia,2,5,1,8,2020,17,0,2098
34,Chinese Taipei,2,4,6,12,2020,20,0,2098
35,Turkey,2,2,9,13,2020,19,0,2098
36,Greece,2,1,1,4,2020,9,0,2098
36,Uganda,2,1,1,4,2020,9,0,2098
38,Ecuador,2,1,0,3,2020,8,0,2098
39,Ireland,2,0,2,4,2020,8,0,2098
39,Israel,2,0,2,4,2020,8,0,2098
41,Qatar,2,0,1,3,2020,7,0,2098
42,Bahamas,2,0,0,2,2020,6,0,2098
42,Kosovo,2,0,0,2,2020,6,0,2098
44,Ukraine,1,6,12,19,2020,27,0,2098
45,Belarus,1,3,3,7,2020,12,0,2098
46,Romania,1,3,0,4,2020,9,0,2098
46,Venezuela,1,3,0,4,2020,9,0,2098
48,India,1,2,4,7,2020,11,0,2098
49,Hong Kong,1,2,3,6,2020,10,0,2098
50,Philippines,1,2,1,4,2020,8,0,2098
50,Slovakia,1,2,1,4,2020,8,0,2098
52,South Africa,1,2,0,3,2020,7,0,2098
53,Austria,1,1,5,7,2020,10,0,2098
54,Egypt,1,1,4,6,2020,9,0,2098
55,Indonesia,1,1,3,5,2020,8,0,2098
56,Ethiopia,1,1,2,4,2020,7,0,2098
56,Portugal,1,1,2,4,2020,7,0,2098
58,Tunisia,1,1,0,2,2020,5,0,2098
59,Estonia,1,0,1,2,2020,4,0,2098
59,Fiji,1,0,1,2,2020,4,0,2098
59,Latvia,1,0,1,2,2020,4,0,2098
59,Thailand,1,0,1,2,2020,4,0,2098
63,Bermuda,1,0,0,1,2020,3,0,2098
63,Morocco,1,0,0,1,2020,3,0,2098
63,Puerto Rico,1,0,0,1,2020,3,0,2098
66,Colombia,0,4,1,5,2020,9,0,2098
67,Azerbaijan,0,3,4,7,2020,10,0,2098
68,Dominican Republic,0,3,2,5,2020,8,0,2098
69,Armenia,0,2,2,4,2020,6,0,2098
70,Kyrgyzstan,0,2,1,3,2020,5,0,2098
71,Mongolia,0,1,3,4,2020,5,0,2098
72,Argentina,0,1,2,3,2020,4,0,2098
72,San Marino,0,1,2,3,2020,4,0,2098
74,Jordan,0,1,1,2,2020,3,0,2098
74,Malaysia,0,1,1,2,2020,3,0,2098
74,Nigeria,0,1,1,2,2020,3,0,2098
77,Bahrain,0,1,0,1,2020,2,0,2098
77,Lithuania,0,1,0,1,2020,2,0,2098
77,Namibia,0,1,0,1,2020,2,0,2098
77,North Macedonia,0,1,0,1,2020,2,0,2098
77,Saudi Arabia,0,1,0,1,2020,2,0,2098
77,Turkmenistan,0,1,0,1,2020,2,0,2098
83,Kazakhstan,0,0,8,8,2020,8,0,2098
84,Mexico,0,0,4,4,2020,4,0,2098
85,Finland,0,0,2,2,2020,2,0,2098
86,Botswana,0,0,1,1,2020,1,0,2098
86,Burkina Faso,0,0,1,1,2020,1,0,2098
86,Ghana,0,0,1,1,2020,1,0,2098
86,Grenada,0,0,1,1,2020,1,0,2098
86,Ivory Coast,0,0,1,1,2020,1,0,2098
86,Kuwait,0,0,1,1,2020,1,0,2098
86,Moldova,0,0,1,1,2020,1,0,2098
86,Syria,0,0,1,1,2020,1,0,2098
1,United States,40,44,42,126,2024,250,0,2022
2,China,40,27,24,91,2024,198,0,2022
3,Japan,20,12,13,45,2024,97,0,2022
4,Australia,18,19,16,53,2024,108,0,2022
5,France,16,26,22,64,2024,122,1,2022
6,Netherlands,15,7,12,34,2024,71,0,2022
7,Great Britain,14,22,29,65,2024,115,0,2022
8,South Korea,13,9,10,32,2024,67,0,2022
9,Italy,12,13,15,40,2024,77,0,2022
10,Germany,12,13,8,33,2024,70,0,2022
11,New Zealand,10,7,3,20,2024,47,0,2022
12,Canada,9,7,11,27,2024,52,0,2022
13,Uzbekistan,8,2,3,13,2024,31,0,2022
14,Hungary,6,7,6,19,2024,38,0,2022
15,Spain,5,4,9,18,2024,32,0,2022
16,Sweden,4,4,3,11,2024,23,0,2022
17,Kenya,4,2,5,11,2024,21,0,2022
18,Norway,4,1,3,8,2024,17,0,2022
19,Ireland,4,0,3,7,2024,15,0,2022
20,Brazil,3,7,10,20,2024,33,0,2022
21,Iran,3,6,3,12,2024,24,0,2022
22,Ukraine,3,5,4,12,2024,23,0,2022
23,Romania,3,4,2,9,2024,19,0,2022
24,Georgia,3,3,1,7,2024,16,0,2022
25,Belgium,3,1,6,10,2024,17,0,2022
26,Bulgaria,3,1,3,7,2024,14,0,2022
27,Serbia,3,1,1,5,2024,12,0,2022
28,Czech Republic,3,0,2,5,2024,11,0,2022
29,Denmark,2,2,5,9,2024,15,0,2022
30,Azerbaijan,2,2,3,7,2024,13,0,2022
30,Croatia,2,2,3,7,2024,13,0,2022
32,Cuba,2,1,6,9,2024,14,0,2022
33,Bahrain,2,1,1,4,2024,9,0,2022
34,Slovenia,2,1,0,3,2024,8,0,2022
35,Chinese Taipei,2,0,5,7,2024,11,0,2022
36,Austria,2,0,3,5,2024,9,0,2022
37,Hong Kong,2,0,2,4,2024,8,0,2022
37,Philippines,2,0,2,4,2024,8,0,2022
39,Algeria,2,0,1,3,2024,7,0,2022
39,Indonesia,2,0,1,3,2024,7,0,2022
41,Israel,1,5,1,7,2024,14,0,2022
42,Poland,1,4,5,10,2024,16,0,2022
43,Kazakhstan,1,3,3,7,2024,12,0,2022
44,Jamaica,1,3,2,6,2024,11,0,2022
44,South Africa,1,3,2,6,2024,11,0,2022
44,Thailand,1,3,2,6,2024,11,0,2022
47,Ethiopia,1,3,0,4,2024,9,0,2022
48,Switzerland,1,2,5,8,2024,12,0,2022
49,Ecuador,1,2,2,5,2024,9,0,2022
50,Portugal,1,2,1,4,2024,8,0,2022
51,Greece,1,1,6,8,2024,11,0,2022
52,Argentina,1,1,1,3,2024,6,0,2022
52,Egypt,1,1,1,3,2024,6,0,2022
52,Tunisia,1,1,1,3,2024,6,0,2022
55,Botswana,1,1,0,2,2024,5,0,2022
55,Chile,1,1,0,2,2024,5,0,2022
55,Saint Lucia,1,1,0,2,2024,5,0,2022
55,Uganda,1,1,0,2,2024,5,0,2022
59,Dominican Republic,1,0,2,3,2024,5,0,2022
60,Guatemala,1,0,1,2,2024,4,0,2022
60,Morocco,1,0,1,2,2024,4,0,2022
62,Dominica,1,0,0,1,2024,3,0,2022
62,Pakistan,1,0,0,1,2024,3,0,2022
64,Turkey,0,3,5,8,2024,11,0,2022
65,Mexico,0,3,2,5,2024,8,0,2022
66,Armenia,0,3,1,4,2024,7,0,2022
66,Colombia,0,3,1,4,2024,7,0,2022
68,Kyrgyzstan,0,2,4,6,2024,8,0,2022
68,North Korea,0,2,4,6,2024,8,0,2022
70,Lithuania,0,2,2,4,2024,6,0,2022
71,India,0,1,5,6,2024,7,0,2022
72,Moldova,0,1,3,4,2024,5,0,2022
73,Kosovo,0,1,1,2,2024,3,0,2022
74,Cyprus,0,1,0,1,2024,2,0,2022
74,Fiji,0,1,0,1,2024,2,0,2022
74,Jordan,0,1,0,1,2024,2,0,2022
74,Mongolia,0,1,0,1,2024,2,0,2022
74,Panama,0,1,0,1,2024,2,0,2022
79,Tajikistan,0,0,3,3,2024,3,0,2022
80,Albania,0,0,2,2,2024,2,0,2022
80,Grenada,0,0,2,2,2024,2,0,2022
80,Malaysia,0,0,2,2,2024,2,0,2022
80,Puerto Rico,0,0,2,2,2024,2,0,2022
84,Cabo Verde,0,0,1,1,2024,1,0,2022
84,Ivory Coast,0,0,1,1,2024,1,0,2022
84,Peru,0,0,1,1,2024,1,0,2022
84,Qatar,0,0,1,1,2024,1,0,2022
84,Refugee Olympic Team,0,0,1,1,2024,1,0,2022
84,Singapore,0,0,1,1,2024,1,0,2022
84,Slovakia,0,0,1,1,2024,1,0,2022
84,Zambia,0,0,1,1,2024,1,0,2022
